Company,Rating,Type,Good Review,Bad Review
Ramboll,4.0,Engineering & Construction | Gurugram +33 other locations,"Company Culture, Work Life Balance, Job Security",Promotions
FCC Clutch,3.9,Auto Components | Gurugram +26 other locations,"Work Life Balance, Job Security",Promotions
Pennar Industries,3.5,Engineering & Construction | Hyderabad +32 other locations,,
Kaizen IT Services,3.8,IT Services & Consulting | Kolkata +94 other locations,Work Life Balance,"Promotions, Salary"
Alshaya Group,3.7,Retail | Bengaluru +30 other locations,,
Forbes Marshall,3.9,Industrial Machinery | Pune +24 other locations,"Job Security, Company Culture, Skill Development",Promotions
Me n Moms,4.1,Retail | Mumbai +66 other locations,,
ICA Edu Skills,3.8,Education & Training | Kolkata +121 other locations,"Work Life Balance, Skill Development","Promotions, Job Security, Salary"
Monte Carlo,4.2,Fashion & Textile | Ahmedabad +107 other locations,,
3M,3.9,Electronics Manufacturing | Bengaluru +54 other locations,"Company Culture, Work Life Balance, Salary","Promotions, Job Security"
AML RightSource,2.5,IT Services & Consulting | New Delhi +9 other locations,,
Danfoss Industries,3.8,Industrial Machinery | Chennai +21 other locations,"Work Life Balance, Company Culture",Promotions
Myk Laticrete,3.8,Building Material | Hyderabad +91 other locations,Salary,Promotions
Talentpro,3.8,Recruitment | Chennai +127 other locations,,
Airports Authority of India,4.3,Aviation | New Delhi +94 other locations,,
Kiya.ai,4.0,IT Services & Consulting | Mumbai +18 other locations,,
GKN,3.9,Defence & Aerospace | Pune +31 other locations,Work Life Balance,Promotions
South Indian Bank,3.3,Banking | Kochi +86 other locations,"Salary, Job Security","Work Life Balance, Work Satisfaction, Company Culture"
Motilal Oswal Wealth Management,4.4,Financial Services | Mumbai +26 other locations,,
Uno Mindarika,4.0,Auto Components | Gurugram +27 other locations,"Job Security, Skill Development",Promotions
TVS Eurogrip,3.6,Auto Components | Madurai +84 other locations,,
Geojit Financial Services,3.3,Financial Services | Kochi +142 other locations,,
Philips Innovation Campus,3.7,Software Product | Bengaluru +20 other locations,Work Life Balance,"Promotions, Job Security, Skill Development"
ACKO,3.3,Insurance | Bengaluru +14 other locations,,
Ebixcash Global Services,3.2,BPO | Mumbai +41 other locations,,
Ferrero,3.9,Food Processing | Pune +106 other locations,"Salary, Skill Development","Work Life Balance, Promotions"
Sir H. N. Reliance Foundation Hospital and Research,4.3,Healthcare | Mumbai +11 other locations,,
Videocon d2h,3.8,Internet | New Delhi +118 other locations,,
The Lalit,3.3,Hospitality | New Delhi +32 other locations,,
NoBrokerHood,2.7,Software Product | Bengaluru +34 other locations,,
NRB Bearings,4.0,Auto Components | Chhatrapati Sambhajinagar +21 other locations,"Work Life Balance, Job Security, Skill Development",Promotions
B.L. Kashyap & Sons,3.7,Engineering & Construction | Bengaluru +25 other locations,Job Security,"Promotions, Salary"
Avalon Technologies,3.8,Electronics Manufacturing | Chennai +17 other locations,"Job Security, Skill Development","Promotions, Salary, Company Culture"
Sandvik Asia,4.1,Industrial Machinery | Pune +37 other locations,"Company Culture, Work Life Balance, Job Security",Promotions
Varthana,4.0,NBFC | Bengaluru +80 other locations,,
UKB Electronics Limited,3.5,Electronics Manufacturing | Noida +24 other locations,,
Global Healthcare Billing Partners,3.3,BPO | Chennai +15 other locations,,
Blackrock,3.5,Financial Services | Gurugram +19 other locations,,
ExportersIndia,4.9,Internet | New Delhi +2 other locations,,
NetConnectGlobal,3.1,IT Services & Consulting | Bengaluru +44 other locations,,
Varun Motors,3.7,Automobile | Hyderabad +42 other locations,Job Security,"Promotions, Salary"
Maharashtra Seamless,3.5,Building Material | Mumbai +25 other locations,Job Security,"Promotions, Salary, Company Culture"
Khazana Jewellery,3.9,Jewellery | Chennai +50 other locations,,
Mount Litera Zee School,3.7,Education & Training | Bengaluru +127 other locations,,
InsuranceDekho,3.5,Internet | Gurugram +88 other locations,,
Data Entry,4.2,BPO | New Delhi +109 other locations,,
Manjushree Technopack,3.5,Bengaluru +35 other locations,,
Electrotherm,4.1,Iron & Steel | Ahmedabad +41 other locations,,
Avaada Group,4.3,Power | Noida +73 other locations,,
Vyapar,3.7,Software Product | Bengaluru +40 other locations,,
Sapphire Foods India,3.8,Hospitality | Mumbai +69 other locations,,
Emids Technologies Limited,3.6,IT Services & Consulting | Bengaluru +9 other locations,,
Tecnimont,3.8,Engineering & Construction | Mumbai +29 other locations,"Job Security, Salary","Promotions, Company Culture"
Continental,3.7,Auto Components | Bengaluru +50 other locations,Work Life Balance,"Promotions, Job Security, Skill Development"
Reliance Jewels,3.9,Jewellery | Mumbai +132 other locations,"Job Security, Company Culture, Skill Development",Promotions
IDBI Intech Limited,3.2,IT Services & Consulting | Mumbai +28 other locations,,
Suraksha Diagnostic,3.7,Healthcare | Kolkata +35 other locations,,
Sasken,3.6,IT Services & Consulting | Bengaluru +12 other locations,,
Central Reserve Police Force,4.6,Government | New Delhi +95 other locations,,
Hamilton Housewares,3.8,Consumer Electronics & Appliances | Mumbai +58 other locations,"Work Life Balance, Salary",Promotions
Schwing Stetter,3.8,Industrial Machinery | Chennai +44 other locations,Job Security,Promotions
Turbo Energy,4.1,Auto Components | Chennai +25 other locations,"Work Satisfaction, Skill Development, Company Culture",Promotions
Serum Institute of India,4.1,Biotechnology | Pune +25 other locations,"Job Security, Salary, Work Life Balance",Promotions
Cashify,3.9,Internet | Gurugram +59 other locations,"Company Culture, Work Life Balance",Promotions
Action Tesa,3.9,Building Material | Sitarganj +65 other locations,"Job Security, Skill Development",Promotions
Suma Soft,3.5,IT Services & Consulting | Pune +11 other locations,,
Kirloskar Ferrous Industries,3.6,Iron & Steel | Koppal +22 other locations,Job Security,"Promotions, Salary, Company Culture"
Annalect,3.4,Marketing & Advertising | Bengaluru +15 other locations,Work Life Balance,"Promotions, Job Security, Skill Development"
HDFC Asset Management Company,4.1,Financial Services | Mumbai +140 other locations,"Job Security, Work Life Balance, Skill Development",Promotions
Sl Lumax,3.4,Auto Components | Chennai +19 other locations,,
Sapiens,3.1,Software Product | Bengaluru +8 other locations,,
Infinity Learn,4.2,EdTech | Hyderabad +19 other locations,,
Pyramid IT Consulting,3.1,IT Services & Consulting | Noida +25 other locations,,
Nucleus Software Exports,3.2,Software Product | Noida +12 other locations,Job Security,"Promotions, Work Satisfaction, Skill Development"
Trigent Software,3.3,IT Services & Consulting | Bengaluru +30 other locations,,
Kajaria Ceramics,3.8,Building Material | New Delhi +84 other locations,Work Life Balance,"Promotions, Skill Development, Job Security"
Finastra,3.7,Software Product | Bengaluru +13 other locations,Work Life Balance,"Promotions, Job Security, Work Satisfaction"
IRB Infrastructure,3.9,Engineering & Construction | Mumbai +72 other locations,"Work Life Balance, Salary",Promotions
Godrej Industries,4.0,Real Estate | Mumbai +69 other locations,"Job Security, Work Life Balance, Company Culture",Promotions
Royaloak Incorporation,3.6,Furniture & Furnishing | Bengaluru +47 other locations,,
HashedIn by Deloitte,3.8,IT Services & Consulting | Bengaluru +16 other locations,"Job Security, Company Culture, Skill Development",Promotions
Shriram Automall,4.0,Internet | New Delhi +111 other locations,,
Einfochips,3.5,IT Services & Consulting | Ahmedabad +13 other locations,,
Crowne Plaza,4.1,Hospitality | New Delhi +38 other locations,,
Aster Dm Healthcare,3.7,Healthcare | Bengaluru +39 other locations,,
Medcode,3.8,IT Services & Consulting | Hyderabad +10 other locations,,
Sterling Oil Exploration & Energy Production,3.5,Oil & Gas | Lagos +25 other locations,,
Nspira Management Services,3.7,Management Consulting | Hyderabad +59 other locations,,
Renovision Automation Services,3.3,IT Services & Consulting | New Delhi +72 other locations,,
Finolex Industries,3.7,Building Material | Pune +72 other locations,Work Life Balance,"Promotions, Skill Development, Company Culture"
Sudarshan Chemical Industries,3.8,Chemicals | Roha +26 other locations,Skill Development,Promotions
Adani Cement,3.4,Building Material | Ahmedabad +154 other locations,,
Okaya Power,3.7,Electronics Manufacturing | New Delhi +87 other locations,,
CSM Technologies,3.9,IT Services & Consulting | Bhubaneswar +22 other locations,,
Jubilant Agri and Consumer Products,3.9,Chemicals | Gurugram +118 other locations,"Salary, Work Life Balance, Job Security",Promotions
Karvy Stock Broking,3.6,Hyderabad +107 other locations,,
Eli Lilly and Company,3.3,Pharma | Bengaluru +19 other locations,,
Fiem Industries,3.7,Auto Components | Hosur +29 other locations,Salary,"Job Security, Company Culture, Promotions"
Mrs Bector's Food Specialities,3.8,Hospitality | Greater Noida +89 other locations,,
Varindera Constructions,4.4,Engineering & Construction | New Delhi +28 other locations,,
Dr. Batras' Positive Health Clinic,3.8,Healthcare | Mumbai +88 other locations,,
Shivam Autotech,3.6,Auto Components | Gurugram +22 other locations,,
Sintex Industries,3.9,Industrial Machinery | Ahmedabad +58 other locations,"Job Security, Work Life Balance, Work Satisfaction",Promotions
EaseMyTrip.com,4.0,Travel & Tourism | New Delhi +10 other locations,,
Cyfuture,2.9,IT Services & Consulting | Noida +39 other locations,,
Family Health Plan,3.7,Insurance | Hyderabad +36 other locations,,
BMC Software,3.9,Software Product | Pune +10 other locations,"Work Life Balance, Company Culture, Salary","Promotions, Job Security"
Rocket India,4.0,Financial Services | Chennai +12 other locations,"Job Security, Company Culture, Work Life Balance","Promotions, Salary"
Super Smelters,3.7,Iron & Steel | Asansol +24 other locations,Skill Development,"Promotions, Salary"
Mavenir Systems,3.3,IT Services & Consulting | Bengaluru +19 other locations,,
Becton Dickinson,3.9,Medical Equipment | Bengaluru +38 other locations,"Company Culture, Work Life Balance, Job Security",Promotions
ThoughtWorks,3.9,IT Services & Consulting | Bengaluru +11 other locations,"Work Life Balance, Company Culture, Skill Development",Promotions
The Saraswat Co-operative Bank,3.2,Banking | Mumbai +35 other locations,,
C5i,4.3,Analytics & KPO | Bengaluru +16 other locations,,
AgroStar,4.0,Agriculture | Pune +53 other locations,"Company Culture, Skill Development, Salary",Job Security
Heidelberg Cement,4.0,Building Material | Damoh +81 other locations,"Work Life Balance, Job Security, Company Culture",Promotions
BT E Serv,3.9,BPO | Kolkata +6 other locations,"Work Life Balance, Company Culture",Promotions
Ongc Petro Additions,4.1,Petrochemicals | Bharuch +29 other locations,,
Netmeds.com,3.9,Pharma | Chennai +125 other locations,"Work Life Balance, Salary","Promotions, Job Security"
Hpl Electric & Power,3.7,Electrical Equipment | Gurugram +70 other locations,Work Life Balance,Promotions
Toyoda Gosei Minda,4.2,Auto Components | Neemrana +26 other locations,"Job Security, Company Culture, Work Life Balance",Promotions
Gestamp,3.7,Auto Components | Pune +14 other locations,,
DHL Global Forwarding,3.8,Logistics | Chennai +22 other locations,"Work Life Balance, Job Security, Company Culture",Promotions
ITC Limited Foods Division,3.9,Food Processing | Bengaluru +74 other locations,Job Security,"Promotions, Salary"
IKEA,4.0,Retail | Bengaluru +24 other locations,"Work Life Balance, Company Culture, Salary",Promotions
Hitachi Systems Micro Clinic,4.0,IT Services & Consulting | Mumbai +78 other locations,"Work Life Balance, Company Culture, Job Security",Promotions
Jayaswal Neco Industries Limited,4.1,Iron & Steel | Raipur +31 other locations,,
CSG International,3.5,IT Services & Consulting | Bengaluru +13 other locations,,
Anmol Industries,3.9,FMCG | Kolkata +90 other locations,"Company Culture, Work Life Balance",Promotions
VDA Infosolutions,3.8,IT Services & Consulting | Pune +34 other locations,Job Security,Promotions
Pinnacle,3.4,IT Services & Consulting | Durgapur +23 other locations,Job Security,"Company Culture, Work Life Balance, Work Satisfaction"
Consulting Engineers Group,4.0,Engineering & Construction | Jaipur +73 other locations,"Work Life Balance, Company Culture, Work Satisfaction",Promotions
HLL Lifecare,3.7,Healthcare | Thiruvananthapuram +115 other locations,,
Ofbusiness,2.9,Internet | Gurugram +43 other locations,,
Grab A Grub Services,4.0,Logistics | Mumbai +116 other locations,"Work Life Balance, Company Culture","Promotions, Job Security"
APL Apollo Tubes,4.0,Iron & Steel | Raipur +48 other locations,,
Jain Irrigation Systems,3.7,Agriculture | Jalgaon +89 other locations,Job Security,"Promotions, Salary"
Bharat Biotech International,3.1,Biotechnology | Hyderabad +29 other locations,,
Lulu International Shopping Mall,3.7,Retail | Bengaluru +42 other locations,Job Security,"Promotions, Salary"
Royal Caribbean International,4.1,Travel & Tourism | Mumbai +27 other locations,,
Holiday Inn,3.9,Hospitality | New Delhi +61 other locations,,
FNP,3.7,Retail | New Delhi +19 other locations,,
Jaipur Rugs,4.2,Fashion & Textile | Jaipur +20 other locations,,
EdgeVerve Systems,3.2,Software Product | Bengaluru +16 other locations,Job Security,"Promotions, Salary, Work Satisfaction"
United Colors of Benetton,4.4,Fashion & Textile | Gurugram +74 other locations,,
Perficient,3.7,IT Services & Consulting | Chennai +11 other locations,Work Life Balance,"Promotions, Job Security"
MothersonSumi INfotech & Designs,3.4,IT Services & Consulting | Noida +18 other locations,Job Security,"Promotions, Skill Development, Salary"
Carnival Cruise Lines,4.1,Travel & Tourism | Mumbai +31 other locations,,
Blackberrys,3.7,Fashion & Textile | Gurugram +94 other locations,,
DealShare,3.6,Internet | Bengaluru +43 other locations,,
Pathkind Diagnostics Private Limited,3.9,Healthcare | New Delhi +98 other locations,"Skill Development, Work Life Balance, Work Satisfaction",Promotions
Hettich,3.6,Furniture & Furnishing | Mumbai +47 other locations,,
Expleo Group,3.5,IT Services & Consulting | Pune +10 other locations,,
Vedang Cellular Services,3.8,Telecom | Mumbai +69 other locations,Salary,"Job Security, Promotions"
Accion Labs,3.5,IT Services & Consulting | Bengaluru +13 other locations,,
SIS Prosegur Holdings,3.5,Law Enforcement & Security | New Delhi +94 other locations,,
BAXY Limited,4.0,Auto Components | Bhiwadi +38 other locations,,
Allianz Services,4.0,Insurance | Thiruvananthapuram +13 other locations,"Job Security, Company Culture, Work Life Balance","Salary, Promotions"
Dhani Services,3.6,Mumbai +80 other locations,,
Laxmi Organic Industries,3.6,Chemicals | Mahad +21 other locations,,
Polaris Consulting,4.2,IT Services & Consulting | Hyderabad +18 other locations,,
Zaalima Development,4.3,IT Services & Consulting | Bengaluru +20 other locations,"Work Life Balance, Skill Development, Company Culture",Salary
Aurionpro Solutions,3.4,Software Product | Mumbai +50 other locations,,
Iron Mountain Inc,3.7,IT Services & Consulting | Bengaluru +49 other locations,,
Maxicus,3.9,BPO | Vadodara +15 other locations,,
Orra Fine Jewellery,3.5,Jewellery | Mumbai +51 other locations,Salary,"Work Satisfaction, Company Culture, Job Security"
Inspira Enterprise India Limited,3.6,IT Services & Consulting | Mumbai +35 other locations,,
Kauvery Hospital,3.9,Healthcare | Chennai +20 other locations,"Job Security, Skill Development, Company Culture",Promotions
NLC India Limited,4.4,Metals & Mining | Neyveli +27 other locations,,
Colt Technology Services,4.2,Hardware & Networking | Gurugram +13 other locations,,
Apitoria Pharma,4.2,Pharma | Hyderabad +12 other locations,,
Medley Pharmaceuticals,3.9,Pharma | Mumbai +78 other locations,"Work Life Balance, Job Security","Promotions, Skill Development, Salary"
IDP Education Limited,3.6,Education & Training | Chennai +50 other locations,,
Dr. Reddy's Foundation,3.7,Non-Profit | Hyderabad +90 other locations,,
Excitel Broadband,3.7,Telecom | New Delhi +43 other locations,,
HUDL,3.2,Software Product | Mumbai +16 other locations,,
IKF Finance,4.0,Financial Services | Hyderabad +136 other locations,,
Vadilal Industries,4.1,FMCG | Ahmedabad +84 other locations,,
Ascent HR Technologies Private Limited,3.6,Software Product | Bengaluru +16 other locations,,
Fenesta Building Systems,4.0,Building Material | Gurugram +75 other locations,"Job Security, Company Culture, Work Life Balance",Promotions
Ambit Finvest,4.0,NBFC | Mumbai +119 other locations,,
Bridge & Roof Co,3.4,Engineering & Construction | Kolkata +65 other locations,,
Cvent,3.2,Software Product | Gurugram +10 other locations,,
Columbia Asia,4.6,Healthcare | Bengaluru +18 other locations,,
Ugam Solution,3.5,IT Services & Consulting | Mumbai +14 other locations,Job Security,"Promotions, Salary, Work Satisfaction"
Coal India,3.9,Metals & Mining | Kolkata +60 other locations,"Job Security, Salary, Work Life Balance",Skill Development
Affinity Express,2.8,Marketing & Advertising | Pune +12 other locations,,
Saudi Aramco,4.4,Oil & Gas | Mumbai +38 other locations,,
ShareChat,3.6,Internet | Bengaluru +39 other locations,Salary,"Job Security, Promotions"
QSpiders,3.7,Education & Training | Bengaluru +29 other locations,,
Efs Facilities Services,3.8,Facility Management Services | New Delhi +60 other locations,,
Maharashtra State Electricity Distribution Company,4.3,Power | Pune +90 other locations,"Company Culture, Skill Development, Work Life Balance",Promotions
Premier Energies,4.0,Electronics Manufacturing | Hyderabad +29 other locations,"Company Culture, Work Life Balance, Job Security",Promotions
PureSoftware,2.9,Software Product | Noida +10 other locations,,
PTC,4.2,Software Product | Pune +39 other locations,"Work Life Balance, Company Culture, Job Security",Promotions
Jindal Poly Films,3.6,Packaging | Nashik +18 other locations,,
ArcelorMittal,4.0,Iron & Steel | Surat +52 other locations,"Work Life Balance, Job Security, Salary",Promotions
Kellogg,4.2,FMCG | Mumbai +83 other locations,"Work Life Balance, Company Culture, Job Security",Promotions
Congruex Asia Pacific,3.7,Engineering & Construction | Sahibzada Ajit Singh Nagar +25 other locations,"Company Culture, Work Life Balance","Promotions, Skill Development"
Jubilant Generics,3.9,Pharma | Roorkee +24 other locations,Salary,Promotions
Gandhi Automations,3.9,Industrial Machinery | Mumbai +24 other locations,,
PayU Payments,3.3,FinTech | Gurugram +22 other locations,,
Empower,4.0,Financial Services | Bengaluru +12 other locations,"Job Security, Company Culture, Work Life Balance",Promotions
Pamac Finserve,3.1,BPO | Mumbai +60 other locations,,
Magma General Insurance Limited,3.7,Insurance | Mumbai +87 other locations,,
Country Delight,3.9,Hospitality | Gurugram +36 other locations,"Salary, Work Life Balance",Promotions
Alcon,3.8,Medical Equipment | Bengaluru +38 other locations,"Salary, Work Life Balance",Promotions
AVTEC,3.5,Auto Components | Hosur +27 other locations,,
Capital Numbers Infotech,4.1,IT Services & Consulting | Kolkata +9 other locations,,
Crystal Crop Protection,3.9,Agro Chemicals | New Delhi +91 other locations,Work Life Balance,Promotions
Army Public School,4.0,Education & Training | New Delhi +97 other locations,"Skill Development, Salary, Work Life Balance","Job Security, Promotions"
SAEL Industries Limited,3.9,Power | New Delhi +66 other locations,"Work Life Balance, Salary",Promotions
Damco Solutions,3.4,IT Services & Consulting | Noida +22 other locations,,
Prochant,3.8,Analytics & KPO | Chennai +10 other locations,,
Axiscades,3.1,IT Services & Consulting | Bengaluru +13 other locations,,
Voyants Solutions,3.6,Engineering & Construction | Gurugram +97 other locations,,
Titan Engineering & Automation,3.8,Engineering & Construction | Hosur +18 other locations,"Job Security, Skill Development","Promotions, Work Life Balance"
Maxop Engineering Co.,4.1,Auto Components | Gurugram +17 other locations,,
Quest Retail Private Limited,3.9,Retail | Gurugram +64 other locations,,
Prestige Group,4.3,Real Estate | Bengaluru +32 other locations,,
Wood Group,3.7,Engineering & Construction | Chennai +29 other locations,"Salary, Work Life Balance","Promotions, Skill Development"
McCain Foods,4.0,FMCG | Mahesana +74 other locations,"Salary, Work Life Balance, Job Security",Promotions
Vishwa Samudra Engineering,3.6,Engineering & Construction | Hyderabad +46 other locations,,
smartData Enterprises,3.9,IT Services & Consulting | Nagpur +13 other locations,Skill Development,Job Security
Sandoz,3.9,Pharma | Hyderabad +21 other locations,"Salary, Company Culture, Work Life Balance",Promotions
BEML,3.6,Industrial Machinery | Bengaluru +36 other locations,Job Security,"Promotions, Company Culture, Salary"
Hilton,4.1,Hospitality | Bengaluru +41 other locations,,
J K Fenner,3.8,Engineering & Construction | Chennai +56 other locations,,
Paramount Health Services Tpa,3.9,Insurance | Mumbai +41 other locations,Work Life Balance,"Promotions, Salary"
MR.DIY,3.4,Retail | Mumbai +88 other locations,,
Matrimonialsindia,4.9,Internet | New Delhi +1 other locations,,
Genesys International Corporation,3.1,IT Services & Consulting | Mumbai +15 other locations,,
Toyota Industries Engine India,4.3,Auto Components | Bengaluru +15 other locations,"Company Culture, Work Life Balance, Job Security",Promotions
GAMMON INDIA,3.8,Engineering & Construction | Mumbai +73 other locations,"Skill Development, Work Satisfaction, Job Security",Promotions
Icl Fincorp,4.7,NBFC | Thrissur +66 other locations,,
Dishman Carbogen Amcis,3.6,Pharma | Ahmedabad +15 other locations,Work Life Balance,"Promotions, Job Security, Work Satisfaction"
Lear Corporation,4.0,Auto Components | Pune +19 other locations,"Work Life Balance, Company Culture, Job Security",Promotions
Applied Materials,3.7,Semiconductors | Bengaluru +11 other locations,,
AVIOM,4.0,NBFC | New Delhi +191 other locations,,
Unified Mentor,4.1,IT Services & Consulting | Bengaluru +47 other locations,"Work Life Balance, Skill Development, Company Culture",Salary
Baker Hughes,4.0,Oil & Gas | Bengaluru +38 other locations,"Work Life Balance, Company Culture, Work Satisfaction",Promotions
Paytm Payments Services,3.2,FinTech | Noida +165 other locations,,
Hitachi Cash Management Services,3.2,Other | Mumbai +107 other locations,,
TSYS|Total System Services,4.1,FinTech | Pune +11 other locations,,
Andritz Hydro Location India,3.9,Industrial Machinery | Chennai +28 other locations,Job Security,Promotions
Infotact Solutions,4.4,IT Services & Consulting | Bengaluru +19 other locations,,
Marelli,3.5,Auto Components | Gurugram +19 other locations,,
UTL Solar,3.6,Electronics Manufacturing | New Delhi +82 other locations,,
BUSINESSNEXT,3.4,Software Product | Noida +9 other locations,,
HBL Power Systems,4.0,Electrical Equipment | Hyderabad +49 other locations,Work Life Balance,"Promotions, Salary"
HBL Power Systems,4.0,Electrical Equipment | Hyderabad +49 other locations,Work Life Balance,"Promotions, Salary"
Paras Dairy,3.4,Food Processing | New Delhi +60 other locations,,
WayCool Foods and Products,3.4,FMCG | Chennai +42 other locations,,
Mahendra NextWealth IT,3.3,IT Services & Consulting | Salem +26 other locations,,
Western Refrigeration,3.8,Industrial Machinery | Vapi +43 other locations,"Job Security, Salary","Company Culture, Promotions"
Larsen & Toubro Group,4.0,Engineering & Construction | Chennai +94 other locations,,
Datamatics Business Solutions,3.3,Management Consulting | Mumbai +13 other locations,,
NAV Backoffice,3.8,Accounting & Auditing | Jaipur +10 other locations,,
AM Infoweb,3.8,BPO | Pune +8 other locations,,
DB Schenker,4.3,Logistics | Gurugram +40 other locations,"Work Life Balance, Company Culture, Work Satisfaction",Promotions
Amway India Enterprises,4.1,Fitness & Wellness | Gurugram +80 other locations,"Work Life Balance, Company Culture, Salary",Promotions
FiveS Digital,3.3,BPO | Jamshedpur +27 other locations,,
AVEVA,4.0,Software Product | Hyderabad +14 other locations,"Work Life Balance, Company Culture",Promotions
Bajaj Consumer Care,3.9,FMCG | Mumbai +114 other locations,"Company Culture, Work Life Balance, Salary",Promotions
"DATAMARK, Inc.",3.5,BPO | Chennai +13 other locations,,
Levi Strauss & Co.,4.2,Fashion & Textile | Bengaluru +81 other locations,,
Harman Finochem,3.6,Pharma | Chhatrapati Sambhajinagar +14 other locations,,
Kirloskar Pneumatic,4.0,Industrial Machinery | Pune +22 other locations,"Job Security, Company Culture, Work Life Balance",Promotions
Navin Fluorine International,3.8,Chemicals | Surat +17 other locations,"Job Security, Salary","Promotions, Work Satisfaction, Skill Development"
SoftAge Information Technology,3.6,IT Services & Consulting | Gurugram +127 other locations,,
LendingKart,3.6,NBFC | Ahmedabad +46 other locations,,
Vindhya e-Info Media,3.9,BPO | Bengaluru +19 other locations,"Company Culture, Work Life Balance, Job Security","Promotions, Salary"
Solara Active Pharma Sciences,3.7,Pharma | Visakhapatnam +20 other locations,,
MITS Global Consulting,4.5,Recruitment | Mumbai +13 other locations,,
WPP Media,3.6,Marketing & Advertising | Gurugram +27 other locations,Job Security,"Promotions, Salary, Work Satisfaction"
Micromax Informatics,3.9,Consumer Electronics & Appliances | New Delhi +118 other locations,Work Life Balance,"Promotions, Job Security"
Renault,3.9,Automobile | Chennai +148 other locations,"Work Life Balance, Company Culture, Job Security",Promotions
Equifax,4.0,Pune +12 other locations,"Work Life Balance, Skill Development, Company Culture",Promotions
Innovaccer,2.7,Software Product | Noida +8 other locations,,
Haldiram Snacks,3.8,Food Processing | Noida +69 other locations,,
United Spirits,4.0,Beverage | Bengaluru +96 other locations,"Skill Development, Salary, Company Culture","Promotions, Job Security"
Allianz Partners,3.7,Insurance | Gurugram +19 other locations,"Job Security, Work Life Balance","Promotions, Skill Development, Salary"
Craftsman Automation,3.7,Auto Components | Coimbatore +26 other locations,Salary,"Company Culture, Promotions, Work Life Balance"
Kellogg Brown and Root,4.1,Engineering & Construction | Chennai +36 other locations,"Company Culture, Work Life Balance, Work Satisfaction",Promotions
Toothsi,2.7,Internet | Mumbai +20 other locations,,
Virtual Employee,3.2,Recruitment | Noida +22 other locations,,
GSPANN Technologies,4.0,IT Services & Consulting | Hyderabad +9 other locations,,
The Times of India,3.6,Media & Entertainment | New Delhi +53 other locations,,
Carlsberg,3.9,Beverage | Gurugram +68 other locations,"Salary, Job Security",Promotions
Vimta Labs,3.4,Clinical Research | Hyderabad +30 other locations,,
Sulzer,3.9,Industrial Machinery | Pune +26 other locations,Salary,Promotions
My Home Constructions,4.3,Real Estate | Hyderabad +19 other locations,,
Amara Raja Infra,4.0,Engineering & Construction | Hyderabad +53 other locations,"Job Security, Salary, Company Culture",Promotions
Innominds Software,3.3,IT Services & Consulting | Hyderabad +7 other locations,,
Hitachi Systems,3.9,IT Services & Consulting | Mumbai +42 other locations,"Job Security, Work Life Balance, Company Culture",Promotions
L & W Constructions,4.0,Engineering & Construction | Bengaluru +19 other locations,,
BLK Super Speciality Hospital,3.9,Healthcare | New Delhi +16 other locations,"Skill Development, Job Security",Promotions
Macawber Beekay,4.2,Industrial Machinery | Noida +60 other locations,,
Bharat Fritz Werner,3.9,Industrial Machinery | Bengaluru +18 other locations,Skill Development,"Promotions, Salary"
Artemis Hospitals,4.1,Healthcare | Gurugram +20 other locations,"Work Life Balance, Skill Development, Work Satisfaction",Promotions
Herbalife International,4.0,Healthcare | Bengaluru +86 other locations,,
MUTHOOT HOMEFIN (I) LTD.,3.8,NBFC | Mumbai +110 other locations,,
Roop Polymers,4.0,Auto Components | Gurugram +25 other locations,"Company Culture, Work Life Balance, Job Security",Promotions
Unimoni,3.9,Travel & Tourism | Chennai +138 other locations,,
Enco Engineers Combine,3.7,Auto Components | Gurugram +18 other locations,,
Saksoft,3.4,IT Services & Consulting | Bengaluru +18 other locations,,
Innovatiview India Ltd,4.2,Emerging Technologies | Noida +17 other locations,,
Practo,2.9,Internet | Bengaluru +24 other locations,,
Courtyard by Marriott,4.2,Hospitality | Mumbai +41 other locations,,
RAK Ceramics,3.8,Building Material | Mumbai +65 other locations,,
Welspun Enterprises,4.2,Engineering & Construction | Mumbai +48 other locations,,
Regalix,2.6,Marketing & Advertising | Hyderabad +8 other locations,,
Tracxn,2.6,Internet | Bengaluru +10 other locations,,
Offshore Infrastructures,4.0,Engineering & Construction | Mumbai +52 other locations,,
Fena,4.0,FMCG | New Delhi +88 other locations,,
Propertypistol Realty,3.8,Internet | Mumbai +25 other locations,Salary,"Job Security, Promotions"
Z X Learning,4.3,EdTech | Lucknow +89 other locations,,
Ralson Tyres Limited,3.6,Auto Components | Ludhiana +54 other locations,,
Indecomm Global Services,4.1,IT Services & Consulting | Bengaluru +13 other locations,,
BOBCARD Ltd.,4.0,NBFC | Mumbai +113 other locations,,
Legrand,3.7,Electrical Equipment | Mumbai +58 other locations,,
Kidzee,4.0,EdTech | Kolkata +123 other locations,"Work Life Balance, Skill Development, Company Culture","Salary, Promotions"
Brigade Group,4.1,Real Estate | Bengaluru +12 other locations,,
Hi Tech Gears,4.0,Auto Components | Bhiwadi +29 other locations,"Work Life Balance, Company Culture, Skill Development",Promotions
RadiSys,3.8,Telecom | Bengaluru +11 other locations,"Work Life Balance, Skill Development",Promotions
General Motors,4.0,Automobile | Pune +35 other locations,,
RuralShores,3.6,BPO | Bengaluru +47 other locations,,
Yokohama,3.6,Auto Components | Bahadurgarh +44 other locations,,
